question_id,question_text,a_option,b_option,c_option,d_option,correct_option,question_category
3,What computer component became an inspiration for Daft Punk's album name.,CPU,RAM,Motherboard,SSD,2,Music
4,Which two materials does bronze alloy consist of?,Copper and Tin,Copper and Silver,Copper and Iron,Copper and Gold,1,Chemistry
12,What is the chemical symbol for gold?,Go,Au,Ag,Ge,2,Chemistry
2,When did World War I break out?,1911,1914,1918,1921,2,History
15,"Who wrote the play '"Romeo and Juliet'"?",William Shakespeare,Charles Dickens,Jane Austen,Leo Tolstoy,1,History
6,Vaccine of what desease is discovered by Louis Pasteur?,COVID-19,Hepatitis B,Rabies,Hepatitis A,3,Science
9,What is the largest planet in our solar system?,Mars,Venus,Jupiter,Saturn,3,Science
10,Which famous scientist is known for the theory of relativity?,Isaac Newton,Galileo Galilei,Albert Einstein,Stephen Hawking,3,Science
16,Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,3,Science
17,"Which planet in our solar system is known as the '"Red Planet'"?",Venus,Mars,Jupiter,Neptune,2,Science
18,What is the largest organ in the human body?,Brain,Liver,Skin,Heart,3,Science
5,What is the result of this operation (6 / 2 * (1 + 2))?,1,3,5,9,4,Mathematics
29,What is the boiling point of water in degrees Celsius?,100°C,0°C,50°C,200°C,1,Chemistry
1,What is the capital of Norway?,Belgrad,Berlin,Oslo,Sydney,3,Geography
7,Which country does not have a coastline on any sea or ocean?,Iran,Argentina,Croatia,Afghanistan,4,Geography
13,Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,3,Geography
8,What is the name of a team that is eliminated by France in 2022 World Cup?,Argentina,Croatia,Morocco,Germany,3,Sports
14,What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Hippopotamus,2,Animals
11,Which of the following is a primary color used in subtractive color mixing?,Green,Blue,Red,Yellow,3,Art
19,"Who is the author of '"To Kill a Mockingbird'"?",F. Scott Fitzgerald,Harper Lee,J.K. Rowling,George Orwell,2,Literature
20,What is the chemical symbol for silver?,Ag,Si,Au,Hg,1,Chemistry
21,In which year did the Titanic sink?,1912,1923,1931,1945,1,History
22,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Rembrandt,2,Art
23,What is the capital of Brazil?,Buenos Aires,Brasília,Rio de Janeiro,São Paulo,2,Geography
24,Which gas do plants absorb from the atmosphere during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,2,Biology
25,What is the largest desert in the world?,Sahara Desert,Gobi Desert,Atacama Desert,Antarctica,1,Geography
26,Who is known as the father of modern physics?,Isaac Newton,Galileo Galilei,Albert Einstein,Niels Bohr,3,Science
27,What is the chemical symbol for water?,Wa,H2O,O2,H2,2,Chemistry
28,"Who wrote the play '"Hamlet'"?",William Shakespeare,Charles Dickens,Jane Austen,Leo Tolstoy,1,Literature
30,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Harriet Quimby,Jacqueline Cochran,1,History
31,What is the capital of Australia?,Melbourne,Sydney,Canberra,Perth,3,Geography
32,"Which planet is known as the '"Morning Star'" or '"Evening Star'"?",Mars,Venus,Jupiter,Saturn,2,Astronomy
33,"Who is the author of '"1984'"?",Aldous Huxley,George Orwell,Ray Bradbury,H.G. Wells,2,Literature
34,Who is the lead singer of the rock band Queen?,John Lennon,Elton John,Freddie Mercury,Mick Jagger,3,Music
35,What is the capital of China?,Beijing,Shanghai,Hong Kong,Taipei,1,Geography
36,Which gas do humans exhale when they breathe out?,Oxygen,Carbon Dioxide,Nitrogen,Argon,2,Biology
37,What is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4,Geography
38,Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,1,Science
39,What is the smallest planet in our solar system?,Mars,Venus,Mercury,Earth,3,Astronomy
40,In which country is the Great Barrier Reef located?,Australia,Indonesia,Thailand,Philippines,1,Geography
41,What is the chemical symbol for carbon?,C,Co,Ca,Cu,1,Chemistry
42,"Who wrote '"The Catcher in the Rye'"?",J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,1,Literature
43,What is the capital of Russia?,Moscow,St. Petersburg,Kiev,Minsk,1,Geography
44,Which gas is responsible for the green color of plants?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,2,Biology
45,What is the highest mountain in the world?,Mount Kilimanjaro,Mount McKinley,Mount Everest,Mount Fuji,3,Geography
46,"Who is known as the '"Father of the Atomic Bomb'"?",Albert Einstein,Niels Bohr,Werner Heisenberg,J. Robert Oppenheimer,4,Science
47,What is the chemical symbol for nitrogen?,Ni,N,Na,Ne,2,Chemistry
48,Which gas is responsible for the smell of rotten eggs?,Oxygen,Carbon Dioxide,Hydrogen Sulfide,Methane,3,Chemistry
49,"Who painted the '"Starry Night'"?",Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Rembrandt,1,Art
50,What is the capital of Spain?,Barcelona,Madrid,Seville,Valencia,2,Geography
51,What is the chemical symbol for oxygen?,O,Ox,Oy,O2,1,Chemistry
52,In which country was the sport of tennis first played?,England,France,Spain,Australia,1,Sports
53,What is the largest species of shark?,Great White Shark,Hammerhead Shark,Whale Shark,Tiger Shark,3,Biology
54,What is the capital of South Africa?,Cape Town,Durban,Pretoria,Johannesburg,3,Geography
55,Which gas is used in balloons to make them float?,Oxygen,Carbon Dioxide,Helium,Hydrogen,3,Chemistry
56,What is the largest moon in the solar system?,Luna,Phobos,Ganymede,Titan,3,Astronomy
57,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosa Parks,Eleanor Roosevelt,Mother Teresa,1,Science
58,What is the chemical symbol for helium?,He,H,Hy,Hel,1,Chemistry
59,In which year did Christopher Columbus first reach the Americas?,1492,1521,1607,1776,1,History
60,What is the largest planet in our solar system by volume?,Mars,Venus,Jupiter,Saturn,3,Astronomy
61,How many bones are in the human body?,200,206,220,240,2,Science
62,Roughly how long does it take for the sun's light to reach Earth?,1 minute,1 hour,8 minutes,8 hours,3,Science
63,At what temperature are Celsius and Fahrenheit equal?,-40 degrees,-32 degrees,0 degrees,100 degrees,1,Science
64,How many teeth does an adult human have?,28,30,32,34,3,Science
65,How many vertebrae (backbone part) does the average human possess?,24,26,28,30,2,Science
66,What is the only letter not to appear on the periodic table?,J,Q,X,Z,1,Science
67,Which famous British physicist wrote A Brief History of Time?,Stephen Hawking,Albert Einstein,Isaac Newton,Neil deGrasse Tyson,1,Science
68,What are natural satellites colloquially known as?,Comets,Asteroids,Planets,Moons,4,Science
69,Where can you find the smallest bone in the human body?,Ear,Nose,Hand,Foot,1,Science
70,Dolly was the first ever living creature to be cloned. What type of animal was she?,Dog,Cat,Sheep,Horse,3,Science
